Phoneme,InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,comments
æu̯,1,kore1280,kor,NA,NA,67,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-","+,-","-,+",+,-,-,+,-,-,-,0,-,-,0,
aɛ,1,kore1280,kor,NA,NA,68,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,"+,-","-,+",-,-,-,-,+,-,-,-,0,-,-,0,
ai,1,kore1280,kor,NA,NA,69,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0,
ai̯,1,kore1280,kor,NA,NA,70,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0,
ãi,1,kore1280,kor,NA,NA,71,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0,
ãi̯,1,kore1280,kor,NA,NA,72,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,"+,-",-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0,
ãĩ̯,1,kore1280,kor,NA,NA,7.30E+01,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0,
aɪ,1,kore1280,kor,NA,NA,74,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,-,-,-,+,-,-,-,0,-,-,0,
ãɪ,1,kore1280,kor,NA,NA,75,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,-,-,-,+,-,-,-,0,-,-,0,
ã̤ɪ,1,kore1280,kor,NA,NA,76,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,-,-,-,+,-,"+,-",-,0,-,-,0,
ã̰ɪ,1,kore1280,kor,NA,NA,77,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,-,-,-,+,-,-,"+,-",0,-,-,0,
aɪˀ,1,kore1280,kor,NA,NA,78,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,-,-,-,+,-,-,"-,+",0,-,-,0,
ao,1,kore1280,kor,NA,NA,79,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
ao̯,1,kore1280,kor,NA,NA,80,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
ão,1,kore1280,kor,NA,NA,81,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
ão̯,1,kore1280,kor,NA,NA,8.20E+01,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,"+,-",-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
ãõ̯,1,kore1280,kor,NA,NA,83,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,+,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
au,1,kore1280,kor,NA,NA,84,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
au̯,1,kore1280,kor,NA,NA,85,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
ãũ̯,1,kore1280,kor,NA,NA,86,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,+,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0,
aʊ̯,1,kore1280,kor,NA,NA,87,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",-,-,-,+,-,-,-,0,-,-,0,
ãʊ,1,kore1280,kor,NA,NA,88,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",-,-,-,+,-,-,-,0,-,-,0,
ã̤ʊ,1,kore1280,kor,NA,NA,89,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",-,-,-,+,-,"+,-",-,0,-,-,0,
ã̰ʊ,1,kore1280,kor,NA,NA,90,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,"+,-",-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",-,-,-,+,-,-,"+,-",0,-,-,0,
